Ville,Évènements,Date,Victimes,Capture,Comment
Krymky,Artillerie Ukrainienne,"09,05,2022",,Russie,
Popasna,Passage aérien,"09,05,2022",,Russie,
Novoselivka,Combats,"09,05,2022",,,
Velykyi Burluk,Dissidence,"10,05,2022",,Russie,affiches de menace
Hrushuvakha,Fortification,"10,05,2022",,Ukraine,
Petrivs'ke,Fortification,"10,05,2022",,Ukraine,
Ruska Lozova,Incident,"10,05,2022",,,
Bairak,Combats,"09,05,2022",,Ukraine,Kharkiv
Zamulivka,Combats,"09,05,2022",,Ukraine,Kharkiv
Verkhnii Saltiv,Combats,"09,05,2022",,Ukraine,Kharkiv
Rubizhne K,Combats,"09,05,2022",,Ukraine,Kharkiv
Marinka,Combats,"10,05,2022",,Ukraine,
Mykolaïv,Artillerie russe,"10,05,2022",,Ukraine,
Sevastopol,Passage aérien,"10,05,2022",,Russie,
Karpovychi,Artillerie russe,"10,05,2022",,Ukraine,Chernihiv
Sentivka,Artillerie russe,"10,05,2022",,Ukraine,Chernihiv
Rubizhne,Combats,"10,05,2022",,Ukraine,
Kamyanka,Combats,"10,05,2022",,Ukraine,Donestk
Novomykhailivka,Combats,"10,05,2022",,Ukraine,Donestk
Mariupol,Combats,"10,05,2022",,Contesté,
Rusky Tyshky,Combats,"10,05,2022",,Ukraine,Kharkiv
Voevodivka,Combats,"10,05,2022",,Ukraine,
Pytomnyk,Combats,"10,05,2022",,Ukraine,
Kherson,Crime de guerre,"10,05,2022",,Russie,civil torturé
Bazaliivka,Artillerie russe,"10,05,2022",,Ukraine,
Lebyazhe,Artillerie russe,"10,05,2022",,Ukraine,
Korochkyne,Artillerie russe,"10,05,2022",,Ukraine,
Ruska Lozova,Combats,"08,05,2022",,Ukraine,
Donetsk,Artillerie Ukrainienne,"10,05,2022",,Russie,
Novomykhailivka,Incident,"11,05,2022",,,
Ternova,Combats,"10,05,2022",,Ukraine,
Kamyanka,Combats,"11,05,2022",,Contesté,
Avdiyivka,Artillerie russe,"11,05,2022",,Ukraine,
Rubizhne,Combats,"11,05,2022",,Ukraine,
Lyman,Combats,"11,05,2022",,Ukraine,
Severodonetsk,Combats,"11,05,2022",,Ukraine,
Avdiyevka Kurakhivja,Combats,"11,05,2022",,Ukraine,
Kurakhovo,Combats,"11,05,2022",,Ukraine,
Mariupol,Combats,"11,05,2022",,Contesté,
Bruskinske,Fortification,"11,05,2022",,Russie,
Velyka Oleksandrivka,Fortification,"11,05,2022",,Russie,
Bakhmut,Artillerie russe,"11,05,2022",,Ukraine,
Svitlodarsk,Combats,"11,05,2022",,Ukraine,
Troyitske,Combats,"11,05,2022",,Ukraine,
Bilohorivka,Combats,"12,05,2022",,Ukraine,
Rubizhne,Combats,"12,05,2022",,Russie,
Severodonetsk,Artillerie russe,"12,05,2022",,Ukraine,
Novhorod-siverskyi,Bombardement,"12,05,2022",,Ukraine,chernihiv
Shandryholove,Combats,"12,05,2022",,Russie,
Novoselivka,Combats,"12,05,2022",,Contesté,
Mykolaïv,Artillerie russe,"11,05,2022",,Ukraine,
Marinka,Combats,"12,05,2022",,Ukraine,
Novomykhailivka,Combats,"12,05,2022",,Ukraine,
Chernihiv,Bombardement,"12,05,2022",,Ukraine,
Teysin,Incident,"12,05,2022",,Russie,"Russie, amur"
Mariupol,Combats,"12,05,2022",,Contesté,
Novokalynove,Combats,"12,05,2022",,Ukraine,
Voevodivka,Combats,"12,05,2022",,Russie,
Voronove,Combats,"12,05,2022",,Inconnu,
Pytomnyk,Artillerie russe,"12,05,2022",,Ukraine,
Ruski Tyshky,Artillerie russe,"12,05,2022",,Ukraine,
Oleksandrivka,Combats,"12,05,2022",,Contesté,
Pervomaysk,Combats,"12,05,2022",,Ukraine,
Komishuvakha,Combats,"12,05,2022",,Ukraine,
Novobakhmutivka,Combats,"12,05,2022",,Inconnu,
Novokalynove,Combats,"12,05,2022",,Ukraine,
Nova Kakhovka,Mouvement de troupes,"12,05,2022",,Russie,
Mariupol,Combats,"13,05,2022",,Contesté,
Pryvillya,Combats,"13,05,2022",,Contesté,
Mykolaïv,Bombardement,"12,05,2022",,Ukraine,
Neskuchne,Combats,"13,05,2022",,Russie,
Vesele,Combats,"12,05,2022",,Russie,
Novoselivka,Combats,"13,05,2022",,Ukraine,
Drobysheve,Combats,"13,05,2022",,Ukraine,
Dibrova,Combats,"13,05,2022",,Ukraine,
Velyka Oleksandrivka,Artillerie Ukrainienne,"13,05,2022",,Russie,
Petrivka,Artillerie russe,"13,05,2022",,Ukraine,Kharkiv
Pytomnyk,Artillerie russe,"13,05,2022",,Ukraine,
Ruski Tyshky,Artillerie russe,"13,05,2022",,Ukraine,
Ternova,Artillerie russe,"13,05,2022",,Ukraine,
Bohorodychne,Combats,"13,05,2022",,Ukraine,
Nova Dmytrivka,Artillerie russe,"13,05,2022",,Ukraine,
Krasnopillya,Artillerie russe,"13,05,2022",,Ukraine,Donetsk
Dolyna,Bombardement,"13,05,2022",,Ukraine,Donetsk
Adamivka,Bombardement,"13,05,2022",,Ukraine,Donetsk
Novoselivka Druha,Combats,"13,05,2022",,Ukraine,Donetsk
Kamyanka,Combats,"13,05,2022",,Ukraine,
Marinka,Combats,"13,05,2022",,Ukraine,
Novomykhailivka,Combats,"13,05,2022",,Ukraine,
Oleksandrivka D,Combats,"13,05,2022",,Ukraine,
Rubizhne,Mouvement de troupes,"13,05,2022",,Russie,
Zolotye,Combats,"13,05,2022",,Ukraine,
Komishuvakha,Combats,"13,05,2022",,Ukraine,
Toshkivka,Artillerie russe,"13,05,2022",,Ukraine,
Orikhove,Artillerie russe,"13,05,2022",,Ukraine,
Novoselivka,Combats,"13,05,2022",,Ukraine,
Oleksandrivka,Artillerie russe,"13,05,2022",,Ukraine,
Tavriyskoye,Artillerie russe,"13,05,2022",,Ukraine,
Kotlyareve,Artillerie russe,"13,05,2022",,Ukraine,Kherson ?
Hannivka,Artillerie russe,"13,05,2022",,Ukraine,Kherson ?
Osokorivka,Artillerie russe,"13,05,2022",,Ukraine,
Bilohorivka,Combats,"13,05,2022",,Ukraine,
Sevastopol,Mouvement de troupes,"13,05,2022",,Russie,
Dovgenke,Artillerie russe,"14,05,2022",,Ukraine,
Dolyna,Artillerie russe,"14,05,2022",,Ukraine,
Husarivka,Artillerie russe,"14,05,2022",,Ukraine,
Izyum,Passage aérien,"14,05,2022",,,
Kapitolivka,Passage aérien,"14,05,2022",,,
Dibrova,Passage aérien,"14,05,2022",,,
Mariupol,Artillerie russe,"14,05,2022",,Contesté,
Neskuchne,Combats,"14,05,2022",,Inconnu,
Vremivka,Combats,"14,05,2022",,Ukraine,
Oleksandropillia,Combats,"14,05,2022",,Russie,
Komishuvakha,Combats,"14,05,2022",,Ukraine,
Holubivka,Passage aérien,"14,05,2022",,,
Mykolaïv,Aéronef abattu,"14,05,2022",,Ukraine,
Avdiyivka,Passage aérien,"14,05,2022",,,
Chornobayivka,Incident,"14,05,2022",,Russie,
Starobesheve,Passage aérien,"14,05,2022",,,
Komishuvakha,Combats,"14,05,2022",,Ukraine,
Zolotye,Combats,"14,05,2022",,Ukraine,
Orikhove,Combats,"14,05,2022",,Ukraine,
Toshkivka,Combats,"14,05,2022",,Ukraine,
Oleksandropillia,Combats,"14,05,2022",,Russie,
Novy Aidar,Mouvement de troupes,"14,05,2022",,Russie,
Mariupol,Combats,"14,05,2022",,Contesté,
île des serpents,Mouvement de troupes,"14,05,2022",,Russie,
Severodonetsk,Artillerie russe,"15,05,2022",,Ukraine,
Novobakhmutivka,Combats,"15,05,2022",,Ukraine,
Novoselivka Druha,Combats,"15,05,2022",,Ukraine,
Kamyanka,Combats,"15,05,2022",,Ukraine,
Avdiyivka,Combats,"15,05,2022",,Ukraine,
Derylove,Combats,"15,05,2022",,Russie,
Kramatorsk,Bombardement,"14,05,2022",,Ukraine,
Yarova,Combats,"15,05,2022",,Inconnu,
Novoselivka,Combats,"15,05,2022",,Contesté,
Dovgenke,Combats,"15,05,2022",,Inconnu,
Nova Dmytrivka,Fortification,"15,05,2022",,Ukraine,
Kurulka,Fortification,"15,05,2022",,Ukraine,
Ruski Tyshky,Artillerie russe,"15,05,2022",,Ukraine,
Ternova,Artillerie russe,"15,05,2022",,Ukraine,
Petrivka,Artillerie russe,"15,05,2022",,Ukraine,
Bogorodychne,Combats,"15,05,2022",,Ukraine,
Toshkivka,Combats,"15,05,2022",,Inconnu,
Komishuvakha,Combats,"15,05,2022",,Contesté,
Pisky,Combats,"15,05,2022",,Ukraine,
Novokalynove,Combats,"15,05,2022",,Ukraine,
Trypillya,Combats,"18,05,2022",,Ukraine,Proche Popasna
Pylypchatyne,Combats,"18,05,2022",,Ukraine,Proche Popasna
Troyitske,Combats,"18,05,2022",,Ukraine,
Sloviansk,Artillerie russe,"18,05,2022",,Ukraine,
Lyubymivka,Dissidence,"18,05,2022",,Russie,zaporizhia
Novoselivka Druha,Combats,"18,05,2022",,Russie,
Dnipro,Bombardement,"18,05,2022",,Ukraine,
Dementiivka,Combats,"18,05,2022",,Ukraine,
Orikhove,Combats,"18,05,2022",,Russie,
Orikhove,Combats,"17,05,2022",,Contesté,
Hirske,Fortification,"18,05,2022",,Ukraine,Proche Popasna
Pyatykhatky,Artillerie Ukrainienne,"18,05,2022",,Russie,
Stepanivky,Artillerie Ukrainienne,"18,05,2022",,Russie,
Drobysheve,Combats,"17,05,2022",,Russie,
Novozanivka,Combats,"17,05,2022",,Russie,Proche Popasna
Toshkivka,Combats,"17,05,2022",,Russie,
Seredyna-Buda,Combats,"18,05,2022",,Ukraine,Sumy
Kalyno-Popasna,Combats,"17,05,2022",,Russie,
Rozivka,Combats,"17,05,2022",,Russie,
Komishuvakha,Fortification,"18,05,2022",,Ukraine,
Zolotye,Fortification,"18,05,2022",,Ukraine,
Novoselivka,Combats,"17,05,2022",,Russie,
Lyman,Combats,"17,05,2022",,Ukraine,
Zarichne K,Combats,"17,05,2022",,Inconnu,Kharkiv
Lyman K,Combats,"17,05,2022",,Inconnu,Kharkiv
Kharkiv,Bombardement,"17,05,2022",,Ukraine,
Vovchansk,Combats,"17,05,2022",,Russie,
Drobysheve,Combats,"16,05,2022",,Ukraine,
Sirotyne,Combats,"16,05,2022",,Ukraine,Luhansk
Vyskryva,Combats,"16,05,2022",,Ukraine,
Chornobayivka,Artillerie Ukrainienne,"15,05,2022",,Russie,
Soledar,Artillerie russe,"17,05,2022",,Ukraine,
Severodonetsk,Artillerie russe,"17,05,2022",,Ukraine,
Seredyna-Buda,Combats,"17,05,2022",,Ukraine,
Pylypchatyne,Combats,"16,05,2022",,Ukraine,
Novozanivka,Combats,"16,05,2022",,Contesté,
Katerynivka,Combats,"16,05,2022",,Ukraine,
Zolotye,Combats,"16,05,2022",,Ukraine,
Severodonetsk,Artillerie russe,"16,05,2022",,Ukraine,
Davydiv Brid,Artillerie Ukrainienne,"16,05,2022",,Russie,Kherson
Lviv,Bombardement,"16,05,2022",,Ukraine,
Hulyaipole,Artillerie russe,"15,05,2022",,Ukraine,
Severodonetsk,Artillerie russe,"15,05,2022",,Ukraine,
Lysychansk,Artillerie russe,"15,05,2022",,Ukraine,
Mykolaïv,Artillerie russe,"16,05,2022",,Ukraine,
Izyum,Artillerie Ukrainienne,"16,05,2022",,Russie,
Yarova,Combats,"15,05,2022",,Inconnu,
Novoselivka,Combats,"15,05,2022",,Inconnu,
Severodonetsk,Artillerie russe,"19,05,2022",,Ukraine,
Vrubivka,Combats,"18,05,2022",,Contesté,Proche Popasna
Druzhba,Combats,"18,05,2022",,Inconnu,Proche Popasna
Bakhmut,Bombardement,"18,05,2022",,Ukraine,
Kharkiv,Artillerie russe,"18,05,2022",,Ukraine,
Trypillya,Combats,"19,05,2022",,Contesté,
Komishuvakha,Combats,"19,05,2022",,Ukraine,
Troyitske,Combats,"19,05,2022",,Ukraine,
Velyka Komyshuvakha,Combats,"19,05,2022",,Ukraine,
Ustynivka,Combats,"19,05,2022",,Ukraine,sud severodonetsk
Toshkivka,Combats,"19,05,2022",,Russie,
Dovgenke,Combats,"19,05,2022",,Russie,
Novobakhmutivka,Combats,"17,05,2022",,Ukraine,
Marinka,Combats,"17,05,2022",,Ukraine,
Novomykhailivka,Combats,"17,05,2022",,Ukraine,
Tetkino,Artillerie Ukrainienne,"19,05,2022",,Russie,Russie
Sviatohirsk,Combats,"19,05,2022",,Inconnu,
Yarova,Combats,"19,05,2022",,Inconnu,
Dovgenke,Combats,"18,05,2022",,Inconnu,
Drobysheve,Combats,"18,05,2022",,Ukraine,
Rozivka,Combats,"19,05,2022",,Russie,
Katerynivka,Combats,"19,05,2022",,Ukraine,
Zolotye,Combats,"19,05,2022",,Ukraine,
Novomykhailivka,Combats,"19,05,2022",,Ukraine,
Novokalynove,Combats,"19,05,2022",,Ukraine,
Esman,Artillerie russe,"19,05,2022",,Ukraine,Sumy
Sopych,Artillerie russe,"19,05,2022",,Ukraine,Sumy
Seredyna-Buda,Artillerie russe,"19,05,2022",,Ukraine,
Borshchova,Combats,"19,05,2022",,Ukraine,
Borshchova,Passage aérien,"19,05,2022",,Ukraine,
Pryshyb,Artillerie russe,"19,05,2022",,Ukraine,Sloviansk
Hrushuvakha,Artillerie russe,"19,05,2022",,Ukraine,
Bogorodychne,Artillerie russe,"19,05,2022",,Ukraine,
Oleksandropillia,Combats,"19,05,2022",,Ukraine,
Novobakhmutivka,Combats,"19,05,2022",,Ukraine,
Stepne,Combats,"19,05,2022",,Ukraine,
Slavne,Combats,"19,05,2022",,Ukraine,
Marinka,Combats,"19,05,2022",,Ukraine,
Ozerene,Artillerie russe,"19,05,2022",,Ukraine,
Lyman,Artillerie russe,"19,05,2022",,Ukraine,
Desna,Artillerie russe,"19,05,2022",,Ukraine,Sumy
Orikhove,Bombardement,"19,05,2022",,Ukraine,
Hulyaipole,Bombardement,"19,05,2022",,Ukraine,
Pryshyb,Bombardement,"19,05,2022",,Ukraine,
Trudolyubivka,Bombardement,"19,05,2022",,Ukraine,
Novovorontsovka,Bombardement,"19,05,2022",,Ukraine,
Malyn,Bombardement,"20,05,2022",,Ukraine,zhytomyr
Toshkivka,Combats,"20,05,2022",,Contesté,
Trypillya,Combats,"20,05,2022",,Russie,
Volodymyrivka,Combats,"20,05,2022",,Russie,
Nova Kamianka,Combats,"20,05,2022",,Russie,
Troyitske,Combats,"20,05,2022",,Russie,
Komishuvakha,Combats,"20,05,2022",,Inconnu,
Ternova,Combats,"20,05,2022",,Russie,
Rubizhne K,Combats,"20,05,2022",,Russie,
Novodarivka,Combats,"20,05,2022",,Russie,front sud
Pryyutne,Combats,"20,05,2022",,Russie,front sud
Stepove,Combats,"20,05,2022",,Russie,front sud
Neskuchne,Combats,"20,05,2022",,Russie,
Stryapivka,Combats,"20,05,2022",,Russie,Proche Popasna
Popasna,Mouvement de troupes,"20,05,2022",,Russie,
shchedryshcheve,Combats,"20,05,2022",,Russie,severodonetsk
Zarichne K,Combats,"20,05,2022",,Ukraine,
Metalivka,Combats,"20,05,2022",,Contesté,
Severodonetsk,Artillerie russe,"20,05,2022",,Ukraine,
Lozova,Bombardement,"20,05,2022",,Ukraine,Kharkiv
Izyum,Artillerie Ukrainienne,"20,05,2022",,Russie,
Zolotye,Artillerie russe,"20,05,2022",,Ukraine,
Rubizhne,Artillerie Ukrainienne,"20,05,2022",,Russie,
Yaremivka,Combats,"20,05,2022",,Contesté,proche Izyum
Kherson,Dissidence,"19,05,2022",,Russie,
Enerhodar,Dissidence,"20,05,2022",,Russie,
Lyman,Combats,"20,05,2022",,Ukraine,
Severodonetsk,Combats,"20,05,2022",,Ukraine,
Novomykhailivka,Combats,"20,05,2022",,Ukraine,
Chornobayivka,Mouvement de troupes,"20,05,2022",,Russie,
Boyaro-Lezhachi,Artillerie russe,"20,05,2022",,Ukraine,Sumy
Brusky,Artillerie russe,"20,05,2022",,Ukraine,Sumy
Hremyach,Artillerie russe,"20,05,2022",,Ukraine,chernihiv
Ternova,Combats,"20,05,2022",,Inconnu,
Vesele,Artillerie russe,"20,05,2022",,Ukraine,
Ruski Tyshky,Artillerie russe,"20,05,2022",,Ukraine,
Dovgenke,Artillerie russe,"20,05,2022",,Ukraine,
Velyka Komyshuvakha,Artillerie russe,"20,05,2022",,Ukraine,
Dolyna,Artillerie russe,"20,05,2022",,Ukraine,
Dibrova,Artillerie russe,"20,05,2022",,Ukraine,
Zakitne,Artillerie russe,"20,05,2022",,Ukraine,dir lyman
Oleksandropillia,Combats,"20,05,2022",,Inconnu,Proche Popasna
Volodymyrivka,Mouvement de troupes,"20,05,2022",,Russie,
Vasylivka,Mouvement de troupes,"20,05,2022",,Russie,Proche Popasna
Oleksandrivka,Combats,"20,05,2022",,Ukraine,
Novodarivka,Combats,"20,05,2022",,Ukraine,
Odesa,Bombardement,"20,05,2022",,Ukraine,
Druzhba,Combats,"19,05,2022",,Russie,
Vesele,Combats,"20,05,2022",,Russie,
Zolochiv,Combats,"20,05,2022",,Inconnu,
Ternova,Combats,"20,05,2022",,Russie,
Novoselivka,Combats,"20,05,2022",,Russie,
Yarova,Combats,"20,05,2022",,Ukraine,
Nova Kamianka,Combats,"20,05,2022",,Contesté,
Viktorivka,Combats,"20,05,2022",,Russie,
Vyskryva,Combats,"20,05,2022",,Russie,
Bakhmut,Bombardement,"20,05,2022",,Ukraine,
Ternova,Combats,"21,05,2022",,Contesté,
Semenivka,Artillerie russe,"21,05,2022",,Ukraine,Nord
Bleshnya,Artillerie russe,"21,05,2022",,Ukraine,Nord
Hirsk,Artillerie russe,"21,05,2022",,Ukraine,Nord
Chornohlazivka ,Artillerie russe,"21,05,2022",,Ukraine,Kharkiv
Prudyanka,Artillerie russe,"21,05,2022",,Ukraine,
Dementiivka,Artillerie russe,"21,05,2022",,Ukraine,
Velyka Komyshuvakha,Artillerie russe,"21,05,2022",,Ukraine,
Dovgenke,Artillerie russe,"21,05,2022",,Ukraine,
Vrubivka,Bombardement,"21,05,2022",,Ukraine,
Bakhmut,Bombardement,"21,05,2022",,Ukraine,
Lypove,Combats,"21,05,2022",,Ukraine,Donestk
Vasylivka,Combats,"21,05,2022",,Ukraine,
Marinka,Combats,"21,05,2022",,Ukraine,
Novomykhailivka,Combats,"21,05,2022",,Ukraine,
Mykilske,Bombardement,"21,05,2022",,Ukraine,Donestk
Vremivka,Artillerie russe,"21,05,2022",,Ukraine,
Olhivske,Artillerie russe,"21,05,2022",,Ukraine,zaporizhia
Zatyshshya,Artillerie russe,"21,05,2022",,Ukraine,zaporizhia
Hulyaipole,Artillerie russe,"21,05,2022",,Ukraine,zaporizhia
Orikhiv,Artillerie russe,"21,05,2022",,Ukraine,zaporizhia
Novodanylivka,Artillerie russe,"21,05,2022",,Ukraine,zaporizhia
Kamenskoye,Artillerie russe,"21,05,2022",,Ukraine,
Lyman,Artillerie russe,"22,05,2022",,Ukraine,
Zakitne,Artillerie russe,"22,05,2022",,Ukraine,
Ozerene,Artillerie russe,"22,05,2022",,Ukraine,
Dibrova,Artillerie russe,"22,05,2022",,Ukraine,
Oleksandrivka,Combats,"22,05,2022",,Ukraine,
Toshkivka,Combats,"22,05,2022",,Ukraine,
Komishuvakha,Combats,"22,05,2022",,Ukraine,
Trypillya,Combats,"22,05,2022",,Ukraine,
Vasylivka,Combats,"22,05,2022",,Ukraine,
Boyaro-Lezhachi,Artillerie russe,"22,05,2022",,Ukraine,
Ulytsia,Artillerie russe,"22,05,2022",,Ukraine,sumy
Bunyakine,Artillerie russe,"22,05,2022",,Ukraine,sumy
Hirky,Artillerie russe,"22,05,2022",,Ukraine,sumy
Gremyach,Artillerie russe,"22,05,2022",,Ukraine,sumy
Muravyi,Artillerie russe,"22,05,2022",,Ukraine,sumy
Virnopillya,Artillerie russe,"22,05,2022",,Ukraine,vers sloviansk
Dibrovne,Artillerie russe,"22,05,2022",,Ukraine,vers sloviansk
Dovgenke,Artillerie russe,"22,05,2022",,Ukraine,
Vrubivka,Bombardement,"22,05,2022",,Ukraine,
Bakhmut,Bombardement,"22,05,2022",,Ukraine,
Serebryanka,Artillerie russe,"22,05,2022",,Ukraine,proche lyman
Severodonetsk,Artillerie russe,"22,05,2022",,Ukraine,
Lysychansk,Artillerie russe,"22,05,2022",,Ukraine,
shchedryshcheve,Combats,"22,05,2022",,Ukraine,
Smolyaninove,Combats,"22,05,2022",,Ukraine,
Lypove,Combats,"22,05,2022",,,
Krasnohorivka,Combats,"22,05,2022",,Ukraine,
Marinka,Combats,"22,05,2022",,Ukraine,
Novomykhailivka,Artillerie russe,"22,05,2022",,Ukraine,
Volodymyrivka,Artillerie russe,"22,05,2022",,Ukraine,
Mykilske,Bombardement,"22,05,2022",,Ukraine,
Katerynivka,Bombardement,"22,05,2022",,Ukraine,
Novoselivka,Combats,"21,04,2022",,Russie,sud donetsk
Novoselivka N,Combats,"22,05,2022",,Russie,
Oskil,Combats,"22,05,2022",,Russie,
Odesa,Bombardement,"22,05,2022",,Ukraine,
Lyman,Combats,"23,05,2022",,Contesté,
Mykolaïv,Artillerie russe,"22,05,2022",,Ukraine,
Desna,Bombardement,"17,05,2022",,Ukraine,
Mironivsky,Combats,"23,05,2022",,Contesté,
Ozerene,Artillerie russe,"23,05,2022",,Ukraine,
Dibrova,Artillerie russe,"23,05,2022",,Ukraine,
Oleksandropillia,Combats,"23,05,2022",,Contesté,
Trypillya,Combats,"23,05,2022",,Ukraine,
Lypove,Combats,"23,05,2022",,Ukraine,
Khotimlya,Combats,"23,05,2022",,Inconnu,
Ternova,Combats,"23,05,2022",,Inconnu,
Bogorodychne,Bombardement,"23,05,2022",,Ukraine,
Husarivka,Artillerie russe,"23,05,2022",,Ukraine,
Chepil,Artillerie russe,"23,05,2022",,Ukraine,
Dolyna,Artillerie russe,"23,05,2022",,Ukraine,
Sviatohirsk,Artillerie russe,"23,05,2022",,Ukraine,
Studenok,Artillerie russe,"23,05,2022",,Ukraine,
Posad-Pokrovsky,Fortification,"23,05,2022",,Russie,
Velykyi Burluk,Fortification,"22,05,2022",,Russie,
Kapitolivka,Fortification,"22,05,2022",,Russie,
Levkivka,Fortification,"22,05,2022",,Russie,
Zabavne,Fortification,"22,05,2022",,Russie,
Kupyansk,Fortification,"22,05,2022",,Russie,kharkiv
Dovgenke,Combats,"22,05,2022",,Russie,
Dibrova,Artillerie russe,"22,05,2022",,Ukraine,
Toshkivka,Combats,"22,05,2022",,Ukraine,
Avdiyivka,Bombardement,"22,05,2022",,Ukraine,
Novoselivka Druha,Bombardement,"22,05,2022",,Ukraine,
Novomykhailivka,Bombardement,"22,05,2022",,Ukraine,
Serebryanka,Combats,"23,05,2022",,Ukraine,
Lyman,Combats,"24,05,2022",,Contesté,
Horlivka,Combats,"24,05,2022",,Russie,proche new york
Ustynivka,Combats,"24,05,2022",,Contesté,
Toshkivka,Combats,"24,05,2022",,Contesté,
Komishuvakha,Combats,"24,05,2022",,Ukraine,
Vrubivka,Combats,"24,05,2022",,Inconnu,
Pylypchatyne,Combats,"24,05,2022",,Inconnu,
Zolotye,Combats,"24,05,2022",,Inconnu,
Svitlodarsk,Combats,"24,05,2022",,Russie,
Ternova,Combats,"24,05,2022",,Contesté,
Mironivsky,Combats,"24,05,2022",,Russie,
Soledar,Combats,"24,05,2022",,Ukraine,
Bakhmut,Artillerie russe,"24,05,2022",,Ukraine,
Tsyrkuny,Artillerie russe,"24,05,2022",,Ukraine,
Severodonetsk,Combats,"24,05,2022",,Ukraine,
Bilohorivka,Combats,"24,05,2022",,Inconnu,
Lypove,Combats,"24,05,2022",,Inconnu,
Avdiyivka,Combats,"24,05,2022",,Ukraine,
Kurakhovo,Combats,"24,05,2022",,Ukraine,
Novopavliv,Combats,"24,05,2022",,Ukraine,
Avdiyivka,Artillerie russe,"24,05,2022",,Ukraine,
Pisky,Artillerie russe,"24,05,2022",,Ukraine,
Marinka,Artillerie russe,"24,05,2022",,Ukraine,
Bogorodychne,Bombardement,"24,05,2022",,Ukraine,
Husarivka,Artillerie russe,"24,05,2022",,Ukraine,
Chepil,Artillerie russe,"24,05,2022",,Ukraine,
Dolyna,Artillerie russe,"24,05,2022",,Ukraine,
Sviatohirsk,Artillerie russe,"24,05,2022",,Ukraine,
Studenok,Artillerie russe,"24,05,2022",,Ukraine,
Posad-Pokrovsky,Fortification,"24,05,2022",,Russie,
Vidrodzhennya,Combats,"24,05,2022",,Russie,
Zarichne K,Combats,"21,05,2022",,Ukraine,
Novoluhanske,Combats,"25,05,2022",,Inconnu,
Kryvyi Rih,Bombardement,"25,05,2022",,Ukraine,
Toshkivka,Combats,"25,05,2022",,Russie,
Lypove,Combats,"25,05,2022",,Russie,
Lyman,Combats,"25,05,2022",,Inconnu,
Vasylivka D,Combats,"25,05,2022",,Russie,Donetsk
Avdiyivka,Combats,"25,05,2022",,Inconnu,
Zaporizhia,Bombardement,"25,05,2022",,Ukraine,
Vasylivka,Mouvement de troupes,"25,05,2022",,Russie,
Volodymyrivka,Combats,"25,05,2022",,Russie,
Viktorivka,Combats,"25,05,2022",,Russie,
Oleksandropillia,Combats,"25,05,2022",,Russie,
Trypillya,Combats,"25,05,2022",,Russie,
Bilohorivka,Combats,"25,05,2022",,Contesté,
Yakovlivka,Combats,"25,05,2022",,Contesté,Donetsk
Yaremivka,Combats,"25,05,2022",,Russie,
Kramatorsk,Artillerie russe,"25,05,2022",,Ukraine,
Bakhmut,Artillerie russe,"25,05,2022",,Ukraine,
Severodonetsk,Combats,"25,05,2022",,Ukraine,
Lysychansk,Artillerie russe,"25,05,2022",,Ukraine,
Rubizhne K,Artillerie russe,"24,05,2022",,Ukraine,
Ternova,Combats,"24,05,2022",,Contesté,
Pasika,Combats,"24,05,2022",,Ukraine,Donestk ?
Kamyanka,Bombardement,"24,05,2022",,Ukraine,
Novomykhailivka,Bombardement,"24,05,2022",,Ukraine,
Kamyanka,Passage aérien,"25,05,2022",,Ukraine,
Novomykhailivka,Passage aérien,"25,05,2022",,Ukraine,
Avdiyivka,Passage aérien,"25,05,2022",,Ukraine,
Krasnopillya,Artillerie russe,"25,05,2022",,Ukraine,
Ruski Tyshky,Artillerie russe,"25,05,2022",,Ukraine,
Nova Dmytrivka,Artillerie russe,"25,05,2022",,Ukraine,
Bogorodychne,Combats,"25,05,2022",,Ukraine,
Komishuvakha,Artillerie russe,"25,05,2022",,Ukraine,
Novozanivka,Artillerie russe,"25,05,2022",,Ukraine,
Berestov,Combats,"25,05,2022",,Inconnu,
Nyrkovo,Combats,"25,05,2022",,Inconnu,
Krasnohorivka,Combats,"25,05,2022",,Ukraine,
Kamyanka,Combats,"25,05,2022",,Ukraine,
Pisky,Combats,"25,05,2022",,Ukraine,
Marinka,Artillerie russe,"25,05,2022",,Ukraine,
Mykilske,Artillerie russe,"25,05,2022",,Ukraine,
Poltavka,Artillerie russe,"25,05,2022",,Ukraine,
Orikhiv,Artillerie russe,"25,05,2022",,Ukraine,
Kharkiv,Artillerie russe,"26,05,2022",,Ukraine,
Dovgenke,Combats,"26,05,2022",,Inconnu,
Lysychansk,Fosse commune,"26,05,2022",,Ukraine,
Berestov,Combats,"26,05,2022",,Ukraine,
Krasnohorivka,Combats,"26,05,2022",,Ukraine,
Kamyanka,Combats,"26,05,2022",,Ukraine,
Avdiyivka,Combats,"26,05,2022",,Ukraine,
Pisky,Combats,"26,05,2022",,Ukraine,
Zolota Nyva,Combats,"26,05,2022",,Ukraine,
Kurakhovo,Combats,"26,05,2022",,Ukraine,
Severodonetsk,Combats,"26,05,2022",,Ukraine,
Lyman,Combats,"26,05,2022",,Russie,
Volodymyrivka,Artillerie Ukrainienne,"26,05,2022",,Russie,
Bohorodychne,Combats,"26,05,2022",,Ukraine,
Borivske,Combats,"26,05,2022",,Ukraine,
