Oblast,Ville,Pays,Coordonnées
Kherson,Posad-Pokrovsky,Ukraine,"46.806186781927, 32.2637748570982"
Kharkiv,Kupyansk,Ukraine,"49.71282741922664, 37.60117836843451"
Donetsk,Horlivka,Ukraine,"48.32613657430704, 38.02675127071879"
Dnipropetrovsk,Novopavliv,Ukraine,"47.9918708679559, 36.531660004452185"
Donetsk,Vidrodzhennya,Ukraine,"48.52617318776088, 38.220518229800575"
Donetsk,Novoluhanske,Ukraine,"48.430381047246755, 38.175615410521694"
Dnipropetrovsk,Kryvyi Rih,Ukraine,"47.908075201038805, 33.40769703009127"
Donetsk,Vasylivka D,Ukraine,"48.17462922736952, 37.857858665595245"
Zaporizhia,Zaporizhia,Ukraine,"47.83339444048358, 35.17192976123045"
Donetsk,Yakovlivka,Ukraine,"48.71106437642245, 38.14414162087471"
Kharkiv,Pasika,Ukraine,"49.07266461528237, 37.46388842395109"
Donetsk,Berestov,Ukraine,"48.757815686051046, 38.2487363873539"
Luhansk,Nyrkovo,Ukraine,"48.73943554673094, 38.314553475152195"
Zaporizhia,Poltavka,Ukraine,"47.71984201927167, 36.47911285069927"
Donetsk,Zolota Nyva,Ukraine,"47.79330995992401, 36.99091881956342"
Luhansk,Nyrkovo,Ukraine,"48.738320891618166, 38.31190889569472"
Donetsk,Midna Ruda,Ukraine,"48.55553760693575, 38.206681772209336"
Kherson,Pravdyne,Ukraine,"46.73659519821088, 32.20231189732294"
Mykolaïv,Zorya,Ukraine,"46.89674881283431, 32.2886230415415"
Luhansk,Andriivka,Ukraine,"49.42481186149756, 37.90500895342455"
Chernihiv,Bleshnya,Ukraine,"52.12778965780141, 32.344590857555026"
Luhansk,Bobrove,Ukraine,"48.80906042775546, 38.64292135594825"
Kherson,Davydiv Brid,Ukraine,"47.23922718136325, 33.19494044265152"
Donetsk,Derylove,Ukraine,"49.06683972460903, 37.72810432557341"
Luhansk,Hirsk,Ukraine,"48.745298470978526, 38.49514046331546"
Kharkiv,Korobochkyne,Ukraine,"49.77861593803758, 36.817506116518295"
Kherson,Kostromka,Ukraine,"47.13948616678009, 33.15053253120065"
Luhansk,Metolkine,Ukraine,"48.927240980611025, 38.554144387804136"
Donetsk,Nahirne,Ukraine,"48.73963094841902, 38.24118265653245"
Mykolaïv,Snihuvira,Ukraine,"47.075124705243404, 32.80231398706403"
Donetsk,Sosnove,Ukraine,"49.07224657284999, 37.54893355233441"
Mykolaïv,Tamaryne,Ukraine,"47.02168362407851, 33.00288457870577"
Kherson,Vesele,Ukraine,"50.169476835016845, 36.528626900092625"
Donetsk,Kostiantynivka,Ukraine,"48.52827272892978, 37.70229223679802"
Donetsk,Svyatogorsk,Ukraine,"49.038990064197826, 37.5690047793518"
Donetsk,Starodubivka,Ukraine,"48.889809559123975, 37.794639383133614"
Donetsk,New York,Ukraine,"48.32902906120941, 37.84515747886968"
Zaporizhia,Polohy,Ukraine,"47.47601294041685, 36.262189672477916"
Kherson,Ivanivka,Ukraine,"46.74751048760663, 33.024991380337596"
Kyiv,Kyiv,Ukraine,"50.444839113128296, 30.53816875053339"
Donetsk,Shchurove,Ukraine,"48.961060109693214, 37.715738819766244"
Donetsk,Staryi Karavan,Ukraine,"48.920931544269756, 37.78340364214905"
Donetsk,Brusivka,Ukraine,"48.90882695328801, 37.78467327683998"
Kherson,Sukhyi Stavok,Ukraine,"47.15845803578287, 33.10369334196831"
Kherson,Blahodativka,Ukraine,"47.177460093331746, 33.010393367304815"
Donetsk,Donetsk,Ukraine,"47.989080215098184, 37.79307558876966"
Luhansk,Mykolaivka,Ukraine,"48.77927273647987, 38.32893428681001"
Kharkiv,Tsupivka,Ukraine,"50.270843647290796, 36.17787734458293"
Kharkiv,Fedorivka,Ukraine,"50.07271758200077, 36.69037734897701"
Donetsk,Myronivka,Ukraine,"48.48530548134593, 38.25458713211772"
Mykolaïv,Blahodatne,Ukraine,"46.76284150854841, 31.702823853285704"
Kharkiv,Velyki Prokhody,Ukraine,"50.20187654471008, 36.32919282593522"
Kharkiv,Chernova Polyana,Ukraine,"49.0194899249541, 36.93040562539252"
Donetsk,Shnurky,Ukraine,"48.90659373447481, 37.30601255346094"
Kherson,Tavriyske,Ukraine,"46.726964653474575, 32.101630663639106"
Mykolaïv,Lyubomyrivka,Ukraine,"46.88695929406813, 32.374942695721394"
Mykolaïv,Shyroke,Ukraine,"47.09897890401173, 32.67331162402946"
Mykolaïv,Bereznehuvate,Ukraine,"47.30907290723943, 32.85270311207352"
Kherson,Bila Krynytsya,Ukraine,"47.34657740339523, 33.19437485126275"
Kherson,Dobryanka,Ukraine,"47.46152488475659, 33.623041646739914"
Donetsk,Semyhirya,Ukraine,"48.46680417336664, 38.14939552934485"
Donetsk,Tetyanivka,Ukraine,"49.0359614341569, 37.58694430549928"
Kharkiv,Bayrak,Ukraine,"50.047977076735464, 36.43057346663574"
Donetsk,Dronivka,Ukraine,"48.917733004331744, 38.04245380464556"
Kherson,Kyselivka,Ukraine,"46.75731005263627, 32.409475110477224"
Kherson,Stanislav,Ukraine,"46.57328833540638, 32.147073678308296"
Kherson,Soldatske,Ukraine,"46.760010529305646, 32.249469796738126"
Kharkiv,Brazhivka,Ukraine,"49.04282238411797, 37.21537187698658"
Donetsk,Svetlodarsk,Ukraine,"48.435780373771934, 38.220579036092445"
Zaporizhia,Berdiansk,Ukraine,"46.76506952889261, 36.79666162322669"
Kharkiv,Petrivske,Ukraine,"49.17348822016023, 36.89364732510335"
Luhansk,Shypylivka,Ukraine,"48.968674824440285, 38.27710234611751"
Donetsk,Mazanivka,Ukraine,"48.993102997800676, 37.354244926552155"
Kherson,Osokorivka,Ukraine,"47.446669578342224, 33.92024837551853"
Kharkiv,Zavody,Ukraine,"49.15273099670029, 37.06557617627931"
Kharkiv,Spivakivka,Ukraine,"49.182795065150486, 37.0577891865668"
Kharkiv,Starytsya,Ukraine,"50.24374886738036, 36.78521325381589"
Kherson,Myrolyubivka,Ukraine,"46.7269461877496, 32.29493527933794"
Mykolaïv,Mykolaivka S,Ukraine,"47.75159302056887, 32.84862134372149"
Kharkiv,Prydonestke,Ukraine,"49.18129685047672, 37.127505340848344"
Kharkiv,Ruska Lozova,Ukraine,"50.1408174136052, 36.282025544782314"
Kharkiv,Peremoha,Ukraine,"50.11364308221995, 36.6639956616348"
Donetsk,Bilohorivka B,Ukraine,"48.73400210005431, 38.21387992115096"
Bryansk,Klintsy,Russie,"52.75941989151703, 32.24598570098281"
Donetsk,Rivnopil,Ukraine,"47.55582986975877, 37.23276092258686"
Donetsk,Pokrovske,Ukraine,"48.63118740720788, 38.135372264285124"
Luhansk,Krasnyi Luch,Ukraine,"48.14136891158618, 38.91513588651084"
Donetsk,Sydorove,Ukraine,"48.985637024040315, 37.60004276726381"
Donetsk,Mayake,Ukraine,"48.94686443030819, 37.61689127342236"
Donetsk,Spirne,Ukraine,"48.808973884727195, 38.25035922659649"
Donetsk,Klynove,Ukraine,"48.559157443011706, 38.15907755219862"
Donetsk,Kodema,Ukraine,"48.472368962952764, 38.08279377148857"
Donetsk,Zhelanne,Ukraine,"48.20759263089076, 37.43974414737668"
Donetsk,Orlivka,Ukraine,"48.162880685017356, 37.64089788163152"
Donetsk,Opytne,Ukraine,"48.095976370074204, 37.72142872332373"
Donetsk,Vodyane,Ukraine,"48.0979440051113, 37.66520680832778"
Zaporizhia,Shcherbaky,Ukraine,"47.549335883466526, 35.58022745112681"
Zaporizhia,Novodanylivka,Ukraine,"47.52812470195028, 35.82207010117886"
Zaporizhia,Temyrivka,Ukraine,"47.82582396158485, 36.57207021278017"
Donetsk,Myrna Dolyna,Ukraine,"48.80902133914134, 38.47590749657447"
Donetsk,Bila Hora,Ukraine,"48.852507866470276, 38.510830134142566"
Donetsk,Bilozerka,Ukraine,"46.6312921052805, 32.44428010112318"
Donetsk,Syrotyne,Ukraine,"48.916115521882276, 38.51278074218763"
Zaporizhia,Mali Shcherbaky,Ukraine,"47.54789482861687, 35.548598596152175"
Zaporizhia,Zaliznychne,Ukraine,"47.64636192063776, 36.16539031942673"
Donetsk,Vuhledar,Ukraine,"47.78007117598356, 37.24801148289156"
Donetsk,Netaylove,Ukraine,"48.10701208597406, 37.55289455638037"
Donetsk,Vershyna,Ukraine,"48.51727723122819, 38.12015889055541"
Donetsk,Adamivka,Ukraine,"48.94192450589357, 37.45102060938771"
Kharkiv,Petrivka,Ukraine,"50.11153726238918, 36.51976865681687"
Kharkiv,Mali Prokhody,Ukraine,"50.22966119354086, 36.34115315578697"
Donetsk,Pavlivka,Ukraine,"47.75439789891693, 37.2178306592152"
Donetsk,Yehorivka,Ukraine,"47.70964463114823, 37.22628336878541"
Luhansk,Podilsne,Ukraine,"48.806599943722325, 38.446145141572735"
Luhansk,Rai-Oleksandrivka,Ukraine,"48.79068341974106, 38.41177141347607"
Luhansk,Vovchoyarivka,Ukraine,"48.833969479028156, 38.362416139984845"
Kharkiv,Chervone,Ukraine,"49.000184656869244, 37.00538230534498"
Kharkiv,Ridne,Ukraine,"48.985133789510385, 37.068729795245815"
Kherson,Posad-Pokrovske,Ukraine,"46.80686238422495, 32.26497648532462"
Kherson,Olhyne,Ukraine,"47.46974656627894, 33.48665597151267"
Donetsk,Novopil,Ukraine,"47.80800520132041, 36.62282341338088"
Donetsk,Novosilka,Ukraine,"47.83785966657379, 36.684552858596845"
Donetsk,Vremivka,Ukraine,"47.8339355134537, 36.81390659945402"
Donetsk,Neskuchne,Ukraine,"47.816544397298735, 36.80890425569208"
Donetsk,Shevchenke,Ukraine,"48.220816899772736, 37.144140110078865"
Donetsk,Prechystivka,Ukraine,"47.7805564376967, 37.07066954898117"
Donetsk,Pyskunivka,Ukraine,"48.88251362054856, 37.838800976572266"
Donetsk,Siversk,Ukraine,"48.86534335362271, 38.093100290824836"
Luhansk,Verkhnokamyanka,Ukraine,"48.84982968456613, 38.300225961951874"
Donetsk,Verkhnyokamyanske ,Ukraine,"48.860223289765734, 38.19515305154395"
Donetsk,Vyimka ,Ukraine,"48.80391810993693, 38.151157789570405"
Luhansk,Zolotarivka ,Ukraine,"48.87342253384856, 38.26975744679814"
Luhansk,Zaitseve,Ukraine,"48.41412292522046, 38.029432974749085"
Donetsk,Ivano-Daryivka,Ukraine,"48.81377584286786, 38.19868750743537"
Luhansk,Svatove,Ukraine,"49.411847460335885, 38.15277230090493"
Donetsk,Khrestyshche,Ukraine,"48.92247850845003, 37.49894894714014"
Kharkiv,Novopavlivka,Ukraine,"48.88773585639339, 37.15258364401281"
Donetsk,Vyyimka,Ukraine,"48.80400906460634, 38.15080276470445"
Donetsk,Verkhnokamyanske,Ukraine,"48.860780796534954, 38.19041319127557"
Zaporizhia,Bilohirya,Ukraine,"47.525147185794886, 35.995070537727344"
Zaporizhia,Hulyapilske,Ukraine,"47.60958003568232, 36.06618535074028"
Donetsk,Velyka Novosilka,Ukraine,"47.840016965286225, 36.841352508044984"
Donetsk,Zoleta Nyva,Ukraine,"47.793676220563796, 36.987163602239136"
Donetsk,Novomaiorske,Ukraine,"47.73511552949103, 37.035228582758336"
Cherkassy,Cherkassy,Ukraine,"49.41742621659364, 32.06638900906302"
Kharkiv,Zamulivka,Ukraine,"50.13485471654159, 36.76248043416796"
Kharkiv,Ukrainka,Ukraine,"50.112750823565605, 36.70409529840395"
Donetsk,Rayhorodok,Ukraine,"48.90513856882157, 37.725046342041814"
Mykolaïv,Stepova Dolyna,Ukraine,"46.77878994776686, 32.18397524947554"
Mykolaïv,Kvitneve,Ukraine,"47.0221139084018, 32.45479715818568"
Mykolaïv,Partyzanske,Ukraine,"47.069945875385834, 32.53279324395555"
Kherson,Knyazivka,Ukraine,"47.52269037925023, 33.521715817601596"
Kherson,Potomkyne,Ukraine,"47.48719317585225, 33.57360030846343"
Dnipropetrovsk,Velyka Kostromka,Ukraine,"47.53433921268275, 33.71725704924125"
Kherson,Zelenyi Hai,Ukraine,"47.164056028566044, 32.97766401816641"
Kherson,Barvinok,Ukraine,"46.809335498064534, 32.4516839047931"
Luhansk,Alchevsk,Ukraine,"48.46876870923113, 38.797048607463374"
Mykolaïv,Myrne,Ukraine,"46.81256599380232, 32.310008703652784"
Luhansk,Zymohiria,Ukraine,"48.58389669998435, 38.9393949955867"
Poltava,Kremenchuk,Ukraine,"49.086617517606804, 33.42648655690288"
Mykolaïv,Ochakiv,Ukraine,"46.61848683741063, 31.543595668250838"
Luhansk,Perevalsk,Ukraine,"48.437387625310116, 38.81648075105463"
Kharkiv,Dovhalivka,Ukraine,"49.382693119537805, 37.07344095553057"
Kharkiv,Zalyman,Ukraine,"49.371644538537744, 37.0562651429618"
Donetsk,Myronivka,Ukraine,"48.48468121954857, 38.25120818630196"
Kherson,Beryslav,Ukraine,"46.84051715857357, 33.43008835836286"
Donetsk,Midna Ruda,Ukraine,"48.5527668894599, 38.205364855927805"
Donetsk,Zvanivka,Ukraine,"48.81421189284961, 38.0813394432961"
Donetsk,Pereizne,Ukraine,"48.779522400505236, 38.075216848510586"
Donetsk,Travneve,Ukraine,"48.424324318093625, 38.10041602947459"
Donetsk,Mykilske,Ukraine,"47.752338002458764, 37.304012505450004"
Donetsk,Rozdolivka,Ukraine,"48.75425120712259, 38.08268503279109"
Luhansk,Privillya,Ukraine,"49.00418547184741, 38.2994395530156"
Donetsk,Novoukrainka,Ukraine,"47.83892464764118, 37.10324378657456"
Odesa,Serhiyivka,Ukraine,"46.02468317787421, 30.36822645269291"
Donetsk,Kryva Luka,Ukraine,"48.87237813882689, 37.90276171845087"
Luhansk,Novodruzhesk,Ukraine,"48.96591995410849, 38.354223456124934"
Luhansk,Topolivka,Ukraine,"48.86281230827125, 38.32564759610409"
Kherson,Arkhanhelske,Ukraine,"47.43304793840606, 33.4039319455586"
Kherson,Kiselivka,Ukraine,"46.75695064418565, 32.408502798707225"
Luhansk,Shypylivka,Ukraine,"48.96753908750301, 38.27375818613483"
Kherson,Shyrokabalka,Ukraine,"46.587830795435686, 32.195278075107765"
Kherson,Tomynabalka,Ukraine,"46.62286558092257, 32.30806775483029"
Kharkiv,Sukha Kamyanka,Ukraine,"49.08992747784953, 37.34924389197505"
Zaporizhia,Nesteryanka,Ukraine,"47.495055412225085, 35.68017685059825"
Zaporizhia,Lyubymivka,Ukraine,"47.34117811399889, 35.37688189664147"
Zaporizhia,Charivne,Ukraine,"47.58225252170861, 36.03569334495275"
Donetsk,Centrale de Vuhlehirska,Ukraine,"48.46291041085975, 38.202626189685446"
Donetsk,Snizhne,Ukraine,"48.02134238982794, 38.76236661185676"
Luhansk,Kadiivka,Ukraine,"48.561982272424544, 38.64735228505576"
Mykolaïv,Lupareve,Ukraine,"46.695517044353906, 31.979519224004903"
Mykolaïv,Myrne,Ukraine,"46.81222117013692, 32.311265497914164"
Mykolaïv,Shevchenkove,Ukraine,"46.86155584257202, 32.19784078135581"
Mykolaïv,Chernova Dolyna,Ukraine,"47.14381772874632, 32.66395747881981"
Mykolaïv,Kobzartsi,Ukraine,"47.14322985236809, 32.765112156065285"
Mykolaïv,Bereznehuvate,Ukraine,"47.30797812776584, 32.84972638641175"
Mykolaïv,Topolyne,Ukraine,"47.27560768916428, 35.00940302867801"
Mykolaïv,Dobryanka,Ukraine,"47.46132435572753, 33.62347782443319"
Kharkiv,Nova Mykolayivka,Ukraine,"49.754964358220015, 37.35496866363186"
Donetsk,Shumy,Ukraine,"48.38120015350999, 37.93339107754017"
Donetsk,Orekhove,Ukraine,"48.10610999636531, 38.107705317698446"
Donetsk,Hryhorivka,Ukraine,"48.92545821493788, 38.18656759259323"
Donetsk,Debaltseve,Ukraine,"48.34740895089486, 38.42235511491453"
Mykolaïv,Prybuzke,Ukraine,"46.737200400666296, 31.88252994668935"
Mykolaïv,Lymany,Ukraine,"46.728061393812304, 31.970598370899655"
Mykolaïv,Myrne,Ukraine,"46.81190976708568, 32.31115256415869"
Mykolaïv,Kotlyareve,Ukraine,"46.88555625213017, 32.22410989844478"
Zaporizhia,Svitlodolynske,Ukraine,"47.07956153504509, 35.51068048969447"
Mykolaïv,Svitlychne,Ukraine,"47.2219481638219, 33.068451767021024"
Kharkiv,Slatyne,Ukraine,"50.21191034176238, 36.15570974432171"
Kharkiv,Nove,Ukraine,"50.18692719303936, 36.239065080942176"
Kharkiv,Staryi Saltiv,Ukraine,"50.07606846724866, 36.790717520324776"
Kharkiv,Pishchane,Ukraine,"50.03866642431939, 36.67287974758949"
Kharkiv,Korobochkyne,Ukraine,"49.776427223931535, 36.81591121350638"
Kharkiv,Mospanove,Ukraine,"49.64352673240792, 36.74343832829257"
Donetsk,Vesela Dolyna,Ukraine,"48.54951467257031, 38.06395918065541"
Donetsk,Opitne,Ukraine,"48.09636302897224, 37.72063490352272"
Donetsk,Shakhtarsk,Ukraine,"48.05044673032314, 38.45805171220735"
Donestk,Laryne,Ukraine,"47.89111387337713, 37.925319281347626"
Donestk,Ilovisk,Ukraine,"47.927218370742516, 38.1946206628985"
Donestk,Kharsysk,Ukraine,"48.046138133971894, 38.12865671605219"
Donestk,Chystakove,Ukraine,"48.02633178838168, 38.62218980214556"
Donestk,Khrestivka,Ukraine,"48.145718041948484, 38.36016112582917"
Kharkiv,Nikopol,Ukraine,"48.88628045323587, 37.12478715823872"
Kharkiv,Sukhivka,Ukraine,"49.03035420928979, 37.24378009684973"
Kharkiv,Andrivka,Ukraine,"49.53658170809309, 36.61532818856653"
Donestk,Kurdyumivka,Ukraine,"48.46800262792595, 37.958684804783346"
Donestk,Zuhres,Ukraine,"48.01833440311548, 38.260896986824484"
Donestk,Chasiv Yar,Ukraine,"48.58823822982534, 37.84192102866868"
